ref;design;Preco_Euros
CSATDEFROT20;AT: CS Desktop Enterprise Frota 6a20 U.A.;103
CSSADAGESUA;SA: CS Desktop Advanced Gestão U.A.;101
CSONMWEEB2BIUA;ON(m): CS Web Enterprise E-Commerce B2B Intranet U.A.;8
CSONMMEMOLR;ON(m): CS Manufactor Executive Moldes Rede;32
CSAFROTSA;CS Advanced Frota Srv.Adic.;1160
CSAIECAPPA;CS Advanced IEC Álcool p/ POS Posto;99
CSONWECOLAB5;ON: CS Web Enterprise Colaborador 1a5 U.A.;30
CSONMMMPLAUA;ON(m): CS Manufactor Manager Planning U.A.;4,08
CSSADESERVG20;SA: CS Desktop Enterprise Serviços 6a20 U.A.;20
CSONMEMULTR10P;ON(m): CS Enterprise Multilingua p/ Restauração 1a10 Postos;3,17
CSATCREVIPM;AT: CS Corporate Revisão de Preços Mono;760
CSATCIECAP5P;AT: CS Corporate IEC Álcool p/ POS 1a5 Postos;38
CSCPGCRMM;CS Corporate Gestão Completo + CRM Comercial Mono;2399
CSATEEQPMP20P;AT: CS Enterprise Equipamento p/ POS 11a20 Postos;64
CSONCSERVGR;ON: CS Corporate Serviços Rede;138
CSONCLETSAR;ON: CS Corporate Letras Srv.Adic.Rede;92
CSONMEPLASA;ON: CS Manufactor Executive Planning Srv.Adic.;768
CSATWECONT20;AT: CS Web Enterprise Contabilidade 6a20 U.A.;105
CSONACLISA;ON: CS Advanced Clínica Srv.Adic.;278
CSDCREVIPUA;CS Desktop Corporate Revisão de Preços U.A.;96
CSATDEPLANP21;AT: CS Desktop Enterprise Planeamento p/ Gestão +20 U.A.;15
RENOVAFIN;Renovação Certificação PHC CS Financeira;70
CSONMWCEDIB;ON(m): CS Web Corporate EDI Broker;0,5
CSONMWECAR20;ON(m): CS Web Enterprise Careers 6a20 U.A.;2
CSONCOCUGSAR;ON: CS Corporate Ocupação p/ Gestão Srv.Adic.Rede;92
CSONMCMULTSA;ON(m): CS Corporate Multilingua Srv.Adic.;4,58
CSDAPLANPUA;CS Desktop Advanced Planeamento p/ Gestão U.A.;83
CSMEGREPR;CS Manufactor Executive Grelhas Rede;2399
CSWEDOC20;CS Web Enterprise Documentos 6a20 U.A.;131
CSEIECAP10P;CS Enterprise IEC Álcool p/ POS 1a10 Postos;120
CSONAIECAGSA;ON: CS Advanced IEC Álcool p/ Gestão Srv.Adic.;72
CSATCFORMSAM;AT: CS Corporate Formação Srv.Adic.Mono;361
CSONAORCAPSA;ON: CS Advanced Orçamento p/ Gestão Srv.Adic.;278
CSATWESUP20;AT: CS Web Enterprise Suporte 6a20 U.A.;107
CSSAAGESR;SA: CS Advanced Gestão Rede;1425
CSONWADOC100;ON: CS Web Advanced Documentos 21a100 U.A.;14
CSATARESPA;AT: CS Advanced Restauração Posto Adic.;303
CSATDEVENC20;AT: CS Desktop Enterprise Vencimentos 6a20 U.A.;142
CSONMMMMRPR;ON(m): CS Manufactor Manager MRP Rede;30,42
CSATEIECAP21P;AT: CS Enterprise IEC Álcool p/ POS +20 Postos;41
CSONMECONTR;ON(m): CS Enterprise Contabilidade Rede;124,75
CSSAETERMR21P;SA: CS Enterprise Terminais p/ Rest. +20 Postos;37
CSSADEPROJ5;SA: CS Desktop Enterprise Projeto p/ Gestão 1a5 U.A.;253
CSDCCONTPUA;CS Desktop Corporate Controlo p/ Gestão U.A.;40
CSONMWCIMOB120;ON(m): CS Web Corporate Imobilizado 1a20 U.A.;1
CSONMWEGREE;ON(m): CS Web Enterprise Grelhas Extranet;10,25
CSCFORNR1P;CS Corporate Fornecedores p/ Rest. 1º Posto;302
CSONEECOP20P;ON: CS Enterprise Ecovalor p/ POS 11a20 Postos;24
CSONMWCDOC120;ON(m): CS Web Corporate Documentos 1a20 U.A.;0,67
CSSAWAECOGUA;SA: CS Web Advanced Ecovalor p/ Gestão U.A.;10
CSATWARECRU21;AT: CS Web Advanced Recrutamento +20 U.A.;37
CSONWCGEB2C;ON: CS Web Corporate Grelhas p/ E-Commerce B2C;45
CSONMDCGESCLUA;ON(m): CS Desktop Corporate Gestão Clientes U.A.;0,5
CSEMULTR20P;CS Enterprise Multilingua p/ Restauração 11a20 Postos;127
CSONMWEGAI400;ON(m): CS Web Enterprise GenAI 101a400 U.A.;0,17
CSSAEMEDIPR;SA: CS Enterprise Medição p/ Gestão Rede;1207
CSWEECOG5;CS Web Enterprise Ecovalor p/ Gestão 1a5 U.A.;90
CSATCORCAPSAM;AT: CS Corporate Orçamento p/ Gestão Srv.Adic.Mono;380
CSSADEFORM20;SA: CS Desktop Enterprise Formação 6a20 U.A.;103
CSONMERGPDRPA;ON(m): CS Enterprise RGPD p/ Restauração Posto;5,08
CSONCMEDIPSAR;ON: CS Corporate Medição p/ Gestão Srv.Adic.Rede;219
FRAMEWEB;Certificação PHC CS Framework Web;250
CSEMULTSA;CS Enterprise Multilingua Srv.Adic.;379
CSONMDEEQPMG21;ON(m): CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;0,58
CSONEIMOBR;ON: CS Enterprise Imobilizado Rede;1497
CSONCDEPOS;ON: CS Corporate Documentos Eletrónicos p/ POS;19
CSATDEECOG21;AT: CS Desktop Enterprise Ecovalor p/ Gestão +20 U.A.;15
CSONWEGAI5;ON: CS Web Enterprise GenAI 1a5 U.A.;17
CSONWCFORME;ON: CS Web Corporate Formação Extranet;240
CSONMERGPD;ON(m): CS Enterprise RGPD;30,42
CSDEOBRG21;CS Desktop Enterprise Obras p/ Gestão +20 U.A.;28
CSATWECOLAB401;AT: CS Web Enterprise Colaborador +400 U.A.;5
CSSAALETR;SA: CS Advanced Letras Rede;833
CSSADECONTP20;SA: CS Desktop Enterprise Controlo p/ Gestão 6a20 U.A.;21
CSONMASMS;ON(m): CS Advanced SMS;6,42
CSCLOTGSAR;CS Corporate Lotes p/ Gestão Srv.Adic.Rede;384
CSECONTPR;CS Enterprise Controlo p/ Gestão Rede;1441
CSSACREVIPR;SA: CS Corporate Revisão de Preços Rede;656
CSONMDASC21;ON(m): CS Desktop Advanced Safe Credit U.A.;0,5
CSATDCPLANPUA;AT: CS Desktop Corporate Planeamento p/ Gestão U.A.;20
CSONMMEPLATR;ON(m): CS Manufactor Executive Platform Rede;189,5
CSONMMMMOLR;ON(m): CS Manufactor Manager Moldes Rede;11,17
CSATADEPOS;AT: CS Advanced Documentos Eletrónicos p/ POS;75
CSATDEIMOV5;AT: CS Desktop Enterprise Imóveis 1a5 U.A.;345
CSONMWESUP20;ON(m): CS Web Enterprise Suporte 6a20 U.A.;4,25
CSONMDEOBRG20;ON(m): CS Desktop Enterprise Obras p/ Gestão 6a20 U.A.;1,08
CSATAOCUGSA;AT: CS Advanced Ocupação p/ Gestão Srv.Adic.;484
CSONMCGESCLR;ON(m): CS Corporate Gestão Clientes Rede;10
CSONEIECAP10P;ON: CS Enterprise IEC Álcool p/ POS 1a10 Postos;29
CSONCLOTGR;ON: CS Corporate Lotes p/ Gestão Rede;184
CSSAEEDIB;SA: CS Enterprise EDI Broker;300
CSONMDEOCUG5;ON(m): CS Desktop Enterprise Ocupação p/ Gestão 1a5 U.A.;5,17
CSATMEMRPR;AT: CS Manufactor Executive MRP Rede;2400
CSDCGREGUA;CS Desktop Corporate Grelhas p/ Gestão U.A.;28
CSONDEQUADB21;ON: CS Desktop Enterprise Qualidade+Documentos+BPM +20 U.A.;34
NSGESTCONTA;Serviços administrativos de gestão de conta corrente;54
CSONWACOLAB120;ON: CS Web Advanced Colaborador 1a20 U.A.;16
CSONMWEGREG20;ON(m): CS Web Enterprise Grelhas p/ Gestão 6a20 U.A.;0,83
CSONMAEDIBSA;ON(m): CS Advanced EDI Broker Srv.Adic.;4,17
CSSAEFORNP10P;SA: CS Enterprise Fornecedores p/ POS 1a10 Postos;232
CSONCMEDIPSAM;ON: CS Corporate Medição p/ Gestão Srv.Adic.Mono;182
CSONCOBRGSAR;ON: CS Corporate Obras p/ Gestão Srv.Adic.Rede;92
CSONDEGES5;ON: CS Desktop Enterprise Gestão 1a5 U.A.;390
CSDEDOCB5;CS Desktop Enterprise Documentos + BPM 1a5 U.A.;365
CSCGESCLM;CS Corporate Gestão Clientes Mono;418
CSATACONTR;AT: CS Advanced Contabilidade Rede;1560
CSONMWAEB2BIUA;ON(m): CS Web Advanced E-Commerce B2B Intranet U.A.;5,5
CSONMDAGAI120;ON(m): CS Desktop Advanced GenAI 1a20 U.A.;1,08
CSSADEMEDIP21;SA: CS Desktop Enterprise Medição p/ Gestão +20 U.A.;29
CSSAWECAR401;SA: CS Web Enterprise Careers +400 U.A.;3
CSDEIMOV21;CS Desktop Enterprise Imóveis +20 U.A.;169
CSATCGESSAR;AT: CS Corporate Gestão Srv.Adic.Rede;576
CSAMULTPPA;CS Advanced Multilingua p/ POS Posto;120
CSMEPLASA;CS Manufactor Executive Planning Srv.Adic.;3200
CURSCONTAB;Curso contabilidade do zero: maximize a sua produtividade;140
CSONWAEQUIE;ON: CS Web Advanced Equipa Extranet;335
CSATCGREGSAM;AT: CS Corporate Grelhas p/ Gestão Srv.Adic.Mono;121
CSSACOBRGR;SA: CS Corporate Obras p/ Gestão Rede;276
CSSAAEQPMPPA;SA: CS Advanced Equipamento p/ POS Posto;43
CSONWADOC120;ON: CS Web Advanced Documentos 1a20 U.A.;29
CSWCGREE;CS Web Corporate Grelhas Extranet;187
CSDEREVIP20;CS Desktop Enterprise Revisão de Preços 6a20 U.A.;136
CSONMWESUP21;ON(m): CS Web Enterprise Suporte +20 U.A.;2,08
CSASINCPA;CS Advanced Sincro Posto;227
CSSACIECAGR;SA: CS Corporate IEC Álcool p/ Gestão Rede;207
CSONMWEDOC20;ON(m): CS Web Enterprise Documentos 6a20 U.A.;2,58
CSEPROJR;CS Enterprise Projeto p/ Gestão Rede;7838
CERTIFFRAMED;Certificação PHC CS Framework Desktop;250
CSATEOBRGSA;AT: CS Enterprise Obras p/ Gestão Srv.Adic.;199
CSARGPDSA;CS Advanced RGPD Srv.Adic.;361
CSEFORMR;CS Enterprise Formação Rede;6322
CSSAAVENCR;SA: CS Advanced Vencimentos Rede;1121
CSONDEVENC20;ON: CS Desktop Enterprise Vencimentos 6a20 U.A.;68
CSATWADOCE;AT: CS Web Advanced Documentos Extranet;549
CSDAECOGUA;CS Desktop Advanced Ecovalor p/ Gestão U.A.;38
CSATDACONTPUA;AT: CS Desktop Advanced Controlo p/ Gestão U.A.;42
CSEMULTR21P;CS Enterprise Multilingua p/ Restauração +20 Postos;104
CSONDACARUA;ON: CS Desktop Advanced Careers U.A.;39
CSONMEIMOVSA;ON(m): CS Enterprise Imóveis Srv.Adic.;46,08
CSDAPQDBUA;CS Desktop Advanced Qualidade + Documentos + BPM U.A.;243
CSATERGPDPPA;AT: CS Enterprise RGPD p/ POS Posto;127
CSWAEQUIE;CS Web Advanced Equipa Extranet;1396
CSDCGESTEUA;CS Desktop Corporate Gestão Terceiros U.A.;89
CSDCOCUGUA;CS Desktop Corporate Ocupação p/ Gestão U.A.;34
CSONCCONTM;ON: CS Corporate Contabilidade Mono;269
CSAEQPMPPA;CS Advanced Equipamento p/ POS Posto;120
CSATEEQPMGSA;AT: CS Enterprise Equipamento p/ Gestão Srv.Adic.;199
CSATDECAR5;AT: CS Desktop Enterprise Careers 1a5 U.A.;285
CSSADCSERVGUA;SA: CS Desktop Corporate Serviços U.A.;10
CSSAAOBRGR;SA: CS Advanced Obras p/ Gestão Rede;695
CSONWACAR120;ON: CS Web Advanced Careers 1a20 U.A.;16
CSEIMOVSA;CS Enterprise Imóveis Srv.Adic.;2303
CSATCCRMR;AT: CS Corporate CRM Rede;576
CSWEDOC401;CS Web Enterprise Documentos +400 U.A.;11
CSSAETERMP;SA: CS Enterprise Terminais Portáteis;1150
CSONDCSUPSTUA;ON: CS Desktop Corporate Suporte + Stocks U.A.;20
CSONMACONTSA;ON(m): CS Advanced Contabilidade Srv.Adic.;31,17
CSWEIMOB21;CS Web Enterprise Imobilizado +20 U.A.;98
CSONMWAGESUA;ON(m): CS Web Advanced Gestão U.A.;4,17
CSONMWEVENCUA;ON(m): CS Web Enterprise Vencimentos U.A.;8,33
CSONMDEEQUI21;ON(m): CS Desktop Enterprise Equipa +20 U.A.;2,08
CSONMDECLI5;ON(m): CS Desktop Enterprise Clínica 1a5 U.A.;8
CSONCSMS;ON: CS Corporate SMS;77
CSONWEOKR400;ON: CS Web Enterprise OKR 101a400 U.A.;6
CERTQUAL;Certificação PHC CS Qualidade;100
CSAQUALIR;CS Advanced Qualidade Rede;2319
CSATESUPR;AT: CS Enterprise Suporte Rede;3161
CSADOCBR;CS Advanced Documentos + BPM Rede;2319
CSATAOBRGR;AT: CS Advanced Obras p/ Gestão Rede;967
CSONMAESTS;ON(m): CS Advanced Estações de Serviço;19,25
CSONMAFROTSA;ON(m): CS Advanced Frota Srv.Adic.;23,17
CSONMETERMPSA;ON(m): CS Enterprise Terminais Portáteis Srv.Adic.;19,25
CSONALETR;ON: CS Advanced Letras Rede;557
CSEFORNR21P;CS Enterprise Fornecedores p/ Rest. +20 Postos;414
CSONCTERMR;ON: CS Corporate Terminais p/ Rest.;20
CSONWECOLAB400;ON: CS Web Enterprise Colaborador 101a400 U.A.;4
CSSADAEQUIUA;SA: CS Desktop Advanced Equipa U.A.;58
RENOVACS;Renovação de Certificação Base;70
CSATWACOLAB101;AT: CS Web Advanced Colaborador +100 U.A.;5
CSSAAFORMR;SA: CS Advanced Formação Rede;833
CSONMAEQPMPPA;ON(m): CS Advanced Equipamento p/ POS Posto;2,42
CSDEMEDIP21;CS Desktop Enterprise Medição p/ Gestão +20 U.A.;81
CSONMDEECOG20;ON(m): CS Desktop Enterprise Ecovalor p/ Gestão 6a20 U.A.;1,08
CSCGESTEM;CS Corporate Gestão Terceiros Mono;1441
CSSAWEEQPMG20;SA: CS Web Enterprise Equipamento p/ Gestão 6a20 U.A.;15
CSATMEPLATSA;AT: CS Manufactor Executive Platform Srv.Adic.;2369
CSSADEQUALI20;SA: CS Desktop Enterprise Qualidade 6a20 U.A.;74
CSATCRES5P;AT: CS Corporate Restauração 2a5 Postos;202
CSATWCEQUI120;AT: CS Web Corporate Equipa 1a20 U.A.;19
CSATCSUPSAM;AT: CS Corporate Suporte Srv.Adic.Mono;281
CSATDECAR21;AT: CS Desktop Enterprise Careers +20 U.A.;71
CSONMEGESR;ON(m): CS Enterprise Gestão Rede;153,58
CSATMEPLATIUA;AT: CS Manufactor Executive Platform Intranet U.A.;9
CSONMEIMOVR;ON(m): CS Enterprise Imóveis Rede;153,58
CSONMCIECAP5P;ON(m): CS Corporate IEC Álcool p/ POS 1a5 Postos;1,5
CSONWAGESUA;ON: CS Web Advanced Gestão U.A.;50
CSSAEEQUIR;SA: CS Enterprise Equipa Rede;1610
CSSAWACAR101;SA: CS Web Advanced Careers +100 U.A.;3
CSSACEQUIM;SA: CS Corporate Equipa Mono;345
CSONMDEORCAP20;ON(m): CS Desktop Enterprise Orçamento p/ Gestão 6a20 U.A.;3
CSAPGLOW;CS Web Advanced Global Web;10590
CSONMCTERMP;ON(m): CS Corporate Terminais Portáteis;16
CSONWEOKR5;ON: CS Web Enterprise OKR 1a5 U.A.;45
CSONMAMULTSA;ON(m): CS Advanced Multilingua Srv.Adic.;8,33
CSATCEQPMGSAR;AT: CS Corporate Equipamento p/ Gestão Srv.Adic.Rede;144
CSATWAEB2C;AT: CS Web Advanced E-Commerce B2C;1288
CSONMAMESTSPA;ON(m): CS Advanced Multi Estação Serviço Posto Adic.;12,75
CSONMWADEEXT;ON(m): CS Web Advanced Documentos Eletrónicos Extranet;9
CSWECOLAB20;CS Web Enterprise Colaborador 6a20 U.A.;94
CSONMEOCUGR;ON(m): CS Enterprise Ocupação p/ Gestão Rede;57,58
CSONESINC20P;ON: CS Enterprise Sincro 11a20 Postos;56
CSONMWESUPE;ON(m): CS Web Enterprise Suporte Extranet;59,92
CSSAWEOKR401;SA: CS Web Enterprise OKR +400 U.A.;4
CSATETERMR10P;AT: CS Enterprise Terminais p/ Rest. 1a10 Postos;79
CSEDOCBR;CS Enterprise Documentos + BPM Rede;3966
FRESERVAM;Ficha de Reserva Monoutilizador;59
CSATDEOBRG20;AT: CS Desktop Enterprise Obras p/ Gestão 6a20 U.A.;28
CSDCEQPMGUA;CS Desktop Corporate Equipamento p/ Gestão U.A.;27
CSONDALOTGUA;ON: CS Desktop Advanced Lotes p/ Gestão U.A.;33
CSSADESERVG5;SA: CS Desktop Enterprise Serviços 1a5 U.A.;43
CSATCCONTM;AT: CS Corporate Contabilidade Mono;561
CSSACIECAGM;SA: CS Corporate IEC Álcool p/ Gestão Mono;174
CSONCGREGR;ON: CS Corporate Grelhas p/ Gestão Rede;138
CSONMEPROJSA;ON(m): CS Enterprise Projeto p/ Gestão Srv.Adic.;47
CSEIMOBR;CS Enterprise Imobilizado Rede;6238
CSCGESCLSAR;CS Corporate Gestão Clientes Srv.Adic.Rede;251
CSONMEECOP10P;ON(m): CS Enterprise Ecovalor p/ POS 1a10 Postos;2,42
CSWACONTUA;CS Web Advanced Contabilidade U.A.;162
TOGUPGADVBPARTNER;Together Corporate/Advanced - Upgrade Pack;150
CSATDEIMOV21;AT: CS Desktop Enterprise Imóveis +20 U.A.;85
CSATWEIMOB5;AT: CS Web Enterprise Imobilizado 1a5 U.A.;195
TOGCORGOPARTNER;Together Corporate & GO Partner;900
CSONDEECOG20;ON: CS Desktop Enterprise Ecovalor p/ Gestão 6a20 U.A.;13
CSCPROJSAM;CS Corporate Projeto p/ Gestão Srv.Adic.Mono;1761
CSONMEMULTR21P;ON(m): CS Enterprise Multilingua p/ Restauração +20 Postos;2,08
CSWECRM20;CS Web Enterprise CRM 6a20 U.A.;154
CSSACPROJM;SA: CS Corporate Projeto p/ Gestão Mono;1265
NSTAXADM;Taxa administrativa de gestão documental;30
CSONDELOGIG20;ON: CS Desktop Enterprise Logística p/ Gestão 6a20 U.A.;25
CSATDEPROJ5;AT: CS Desktop Enterprise Projeto p/ Gestão 1a5 U.A.;353
CSATCLETSAR;AT: CS Corporate Letras Srv.Adic.Rede;192
CSONCSUPSTM;ON: CS Corporate Suporte + Stocks Mono;315
CSATECONSR;AT: CS Enterprise Consolidação Rede;3119
CSATCSUPSTR;AT: CS Corporate Suporte + Stocks Rede;787
CSONMALETSA;ON(m): CS Advanced Letras Srv.Adic.;23,17
CSSAETERMR10P;SA: CS Enterprise Terminais p/ Rest. 1a10 Postos;57
CSSAWAVENCUA;SA: CS Web Advanced Vencimentos U.A.;75
CSSAEGAIR;SA: CS Enterprise GenAI Rede;362
CSSAEECOP10P;SA: CS Enterprise Ecovalor p/ POS 1a10 Postos;43
CSCPROJR;CS Corporate Projeto p/ Gestão Rede;4222
CSSACMEDIPM;SA: CS Corporate Medição p/ Gestão Mono;546
CSONWCLOTG120;ON: CS Web Corporate Lotes p/ Gestão 1a20 U.A.;6
CSDEQUADB21;CS Desktop Enterprise Qualidade+Documentos+BPM +20 U.A.;143
CSONWECAR100;ON: CS Web Enterprise Careers 21a100 U.A.;16
CSWEGREE;CS Web Enterprise Grelhas Extranet;514
CSATALOTGSA;AT: CS Advanced Lotes p/ Gestão Srv.Adic.;484
CSATCFROTSAR;AT: CS Corporate Frota Srv.Adic.Rede;288
CSONCFAT3P;ON: CS Corporate Faturação 2a3 Postos;84
CSMMTOUR;CS Manufactor Manager Touch Rede;558
CSSAWECAR5;SA: CS Web Enterprise Careers 1a5 U.A.;47
CSDCMEDIPUA;CS Desktop Corporate Medição p/ Gestão U.A.;96
CSSADCDOCUA;SA: CS Desktop Corporate Documentos U.A.;16
CSATAECOPPA;AT: CS Advanced Ecovalor p/ POS Posto;50
CSWCDOC120;CS Web Corporate Documentos 1a20 U.A.;32
CSATCOCUGR;AT: CS Corporate Ocupação p/ Gestão Rede;384
CSONMCOCUGR;ON(m): CS Corporate Ocupação p/ Gestão Rede;15,33
CSONMCDE;ON(m): CS Corporate Documentos Eletrónicos;8
CSSADECLI21;SA: CS Desktop Enterprise Clínica +20 U.A.;37
CSSADALOTGUA;SA: CS Desktop Advanced Lotes p/ Gestão U.A.;49
CSONMCFORNP5P;ON(m): CS Corporate Fornecedores p/ POS 2a5 Postos;7,42
CSEPOS20P;CS Enterprise POS 11a20 Postos;775
CSONMWAOKR101;ON(m): CS Web Advanced OKR +100 U.A.;0,25
CSATWECOLAB400;AT: CS Web Enterprise Colaborador 101a400 U.A.;8
CSONMWECONT20;ON(m): CS Web Enterprise Contabilidade 6a20 U.A.;4,17
CSONMCGESCLSAM;ON(m): CS Corporate Gestão Clientes Srv.Adic.Mono;4,17
CSSADAIECAGUA;SA: CS Desktop Advanced IEC Álcool p/ Gestão U.A.;13
CSONCMULTR5P;ON: CS Corporate Multilingua p/ Restauração 1a5 Postos;20
CSWARGPD;CS Web Advanced RGPD;46
CSATDECONS21;AT: CS Desktop Enterprise Consolidação +20 U.A.;70
CSATALOGIGSA;AT: CS Advanced Logística p/ Gestão Srv.Adic.;496
CSONAMEDIPSA;ON: CS Advanced Medição p/ Gestão Srv.Adic.;278
CSONWECRM21;ON: CS Web Enterprise CRM +20 U.A.;18
CSONMCRGPD;ON(m): CS Corporate RGPD;8
CSSAWEVENCUA;SA: CS Web Enterprise Vencimentos U.A.;149
CSCLETM;CS Corporate Letras Mono;639
CSDAFROTUA;CS Desktop Advanced Frota U.A.;159
CSSACORCAPM;SA: CS Corporate Orçamento p/ Gestão Mono;546
CSASMS;CS Advanced SMS;319
CSATDALOGIGUA;AT: CS Desktop Advanced Logística p/ Gestão U.A.;69
CERTPROJ;Certificação PHC CS Projeto;100
CSONMCGREGSAR;ON(m): CS Corporate Grelhas p/ Gestão Srv.Adic.Rede;5,75
CSONMESINC21P;ON(m): CS Enterprise Sincro +20 Postos;3,58
NSTEMPCODBAR;Template Codigos Barras (Gestão);373
CSONMERES10P;ON(m): CS Enterprise Restauração 1a10 Postos;19,33
CSATDEPLANP5;AT: CS Desktop Enterprise Planeamento p/ Gestão 1a5 U.A.;65
CSAVENCSA;CS Advanced Vencimentos Srv.Adic.;1560
CSDELOGIG21;CS Desktop Enterprise Logística p/ Gestão +20 U.A.;47
CSONMESUPSTSA;ON(m): CS Enterprise Suporte + Stocks Srv.Adic.;47,5
CSONMEGAIR;ON(m): CS Enterprise GenAI Rede;20,17
CSONCEQPMGSAR;ON: CS Corporate Equipamento p/ Gestão Srv.Adic.Rede;69
CSWCDEEXT;CS Web Corporate Documentos Eletrónicos Extranet;253
CSONMCCONTPM;ON(m): CS Corporate Controlo p/ Gestão Mono;14,42
CSONWECONT21;ON: CS Web Enterprise Contabilidade +20 U.A.;25
CSONMCECOGR;ON(m): CS Corporate Ecovalor p/ Gestão Rede;11,5
CSATEGREP21P;AT: CS Enterprise Grelhas p/ POS +20 Postos;41
CSONMCPOS5P;ON(m): CS Corporate POS 2a5 Postos;8,08
CSONMWAGREGUA;ON(m): CS Web Advanced Grelhas p/ Gestão U.A.;0,58
CSWESMSE;CS WEB Enterprise SMS Extranet;59
CSATDAECOGUA;AT: CS Desktop Advanced Ecovalor p/ Gestão U.A.;19
CSATAIMOVSA;AT: CS Advanced Imóveis Srv.Adic.;580
CSATCSERVGR;AT: CS Corporate Serviços Rede;288
CSONMMMLOTUA;ON(m): CS Manufactor Manager Lotes U.A.;1
CSONMAECOGR;ON(m): CS Advanced Ecovalor p/ Gestão Rede;11,92
CSEVENCSA;CS Enterprise Vencimentos Srv.Adic.;1871
CSARGPDPPA;CS Advanced RGPD p/ POS Posto;189
CSDEOCUG20;CS Desktop Enterprise Ocupação p/ Gestão 6a20 U.A.;130
CSSAWECAR100;SA: CS Web Enterprise Careers 21a100 U.A.;24
CSATDCOBRGUA;AT: CS Desktop Corporate Obras p/ Gestão U.A.;17
CSONMDAOBRGUA;ON(m): CS Desktop Advanced Obras p/ Gestão U.A.;2,67
CSATDECONT20;AT: CS Desktop Enterprise Contabilidade 6a20 U.A.;142
CSONADE;ON: CS Advanced Documentos Eletrónicos;173
CSONAINT;ON: CS Advanced Intrastat;365
CSONACONSSA;ON: CS Advanced Consolidação Srv.Adic.;768
CSDESUP20;CS Desktop Enterprise Suporte 6a20 U.A.;287
CSONWEEB2B;ON: CS Web Enterprise E-Commerce B2B;719
CSONMAFORNPPA;ON(m): CS Advanced Fornecedores p/ POS Posto;10,17
CSONEIMOBSA;ON: CS Enterprise Imobilizado Srv.Adic.;449
CSONMCECOP5P;ON(m): CS Corporate Ecovalor p/ POS 1a5 Postos;1,5
CSONAGREGSA;ON: CS Advanced Grelhas p/ Gestão Srv.Adic.;72
CSSAACONTPR;SA: CS Advanced Controlo p/ Gestão Rede;403
CSSADAGAI120;SA: CS Desktop Advanced GenAI 1a20 U.A.;19
CSCGESTESAR;CS Corporate Gestão Terceiros Srv.Adic.Rede;864
CSSADADOCBUA;SA: CS Desktop Advanced Documentos + BPM U.A.;58
CSSAMMPLATI;SA: CS Manufactor Manager Platform Intranet;38
CSONDEGAI20;ON: CS Desktop Enterprise GenAI 6a20 U.A.;17
CSATEMULTR21P;AT: CS Enterprise Multilingua p/ Restauração +20 Postos;52
CSCFAT1P;CS Corporate Faturação 1º Posto;251
CSMMGREPUA;CS Manufactor Manager Grelhas U.A.;84
CSONMCMEDIPSAR;ON(m): CS Corporate Medição p/ Gestão Srv.Adic.Rede;18,25
CSSADEDOCB5;SA: CS Desktop Enterprise Documentos + BPM 1a5 U.A.;131
CSATDCEQUIUA;AT: CS Desktop Corporate Equipa U.A.;27
CSDEIMOV5;CS Desktop Enterprise Imóveis 1a5 U.A.;690
CSATCLOTGR;AT: CS Corporate Lotes p/ Gestão Rede;384
CSONEECOP21P;ON: CS Enterprise Ecovalor p/ POS +20 Postos;20
CSONDAIMOVUA;ON: CS Desktop Advanced Imóveis U.A.;38
CSDAPROJUA;CS Desktop Advanced Projeto p/ Gestão U.A.;423
CSONWEDOC5;ON: CS Web Enterprise Documentos 1a5 U.A.;65
CSSAESUPSTR;SA: CS Enterprise Suporte + Stocks Rede;2846
CSONMCRGPDSA;ON(m): CS Corporate RGPD Srv.Adic.;4
CSACONSR;CS Advanced Consolidação Rede;6399
CSATARGPD;AT: CS Advanced RGPD;360
CSATDECONTP5;AT: CS Desktop Enterprise Controlo p/ Gestão 1a5 U.A.;65
CSONWACOLAB100;ON: CS Web Advanced Colaborador 21a100 U.A.;7
CSSADEGAI5;SA: CS Desktop Enterprise GenAI 1a5 U.A.;34
CSSAWEECOE;SA: CS Web Enterprise Ecovalor Extranet;185
CSATCGREGSAR;AT: CS Corporate Grelhas p/ Gestão Srv.Adic.Rede;144
CSATELOGIGSA;AT: CS Enterprise Logística p/ Gestão Srv.Adic.;346
CSONDESERVG5;ON: CS Desktop Enterprise Serviços 1a5 U.A.;29
CSSAWCEQUIE;SA: CS Web Corporate Equipa Extranet;216
CSATDAEQPMGUA;AT: CS Desktop Advanced Equipamento p/ Gestão U.A.;19
CSONECLISA;ON: CS Enterprise Clínica Srv.Adic.;323
CSSAEECOP20P;SA: CS Enterprise Ecovalor p/ POS 11a20 Postos;36
CSATAORCAPSA;AT: CS Advanced Orçamento p/ Gestão Srv.Adic.;580
CERTIFGO;Certificação PHC GO;50
CSWEFORME;CS Web Enterprise Formação Extranet;2996
CSCINT;CS Corporate Intrastat;798
CSDEORCAP20;CS Desktop Enterprise Orçamento p/ Gestão 6a20 U.A.;149
CSWCVENC120;CS Web Corporate Vencimentos 1a20 U.A.;53
CSONCGESSAR;ON: CS Corporate Gestão Srv.Adic.Rede;276
CSONMEDENSA;ON(m): CS Enterprise Denúncias Srv.Adic.;9,17
CSONMDCMEDIPUA;ON(m): CS Desktop Corporate Medição p/ Gestão U.A.;1,92
