ref;design;Preco_Euros
CSADERES;CS Advanced Documentos Eletrónicos p/ Restauração;149
CSWAFORME;CS Web Advanced Formação Extranet;1902
CSONAIECAGR;ON: CS Advanced IEC Álcool p/ Gestão Rede;105
CSEMULTSA;CS Enterprise Multilingua Srv.Adic.;361
CSATARGPDPPA;AT: CS Advanced RGPD p/ POS Posto;90
CSONAFORMSA;ON: CS Advanced Formação Srv.Adic.;204
CSSADALOTGUA;SA: CS Desktop Advanced Lotes p/ Gestão U.A.;43
CSONEMESTSPA;ON: CS Enterprise Multi Estação Serviço Posto Adic.;148
CSATDCPLANPUA;AT: CS Desktop Corporate Planeamento p/ Gestão U.A.;19
CSATEQUADBR;AT: CS Enterprise Qualidade+Documentos+BPM Rede;3078
CSONMWESUP5;ON(m): CS Web Enterprise Suporte 1a5 U.A.;6,25
CSONMAIECAPPA;ON(m): CS Advanced IEC Álcool p/ POS Posto;1,42
CSATWEGES21;AT: CS Web Enterprise Gestão +20 U.A.;142
CSONMCSERVGSAM;ON(m): CS Corporate Serviços Srv.Adic.Mono;3,58
CSONEDE;ON: CS Enterprise Documentos Eletrónicos;268
CSCPLANPM;CS Corporate Planeamento p/ Gestão Mono;686
CSCVENCR;CS Corporate Vencimentos Rede;1316
CSATELOGIGSA;AT: CS Enterprise Logística p/ Gestão Srv.Adic.;329
CSSAWECRM20;SA: CS Web Enterprise CRM 6a20 U.A.;48
CSSAEGAIR;SA: CS Enterprise GenAI Rede;316
CSSADAQUALIUA;SA: CS Desktop Advanced Qualidade U.A.;50
CSWARGPD;CS Web Advanced RGPD;44
CSECLISA;CS Enterprise Clínica Srv.Adic.;1279
CSDESHST5;CS Desktop Enterprise SHST 1a5 U.A.;201
CSATDCIMOBUA;AT: CS Desktop Corporate Imobilizado U.A.;35
CSATDEVENC5;AT: CS Desktop Enterprise Vencimentos 1a5 U.A.;271
CSONMADERES;ON(m): CS Advanced Documentos Eletrónicos p/ Restauração;2,33
CSSAATERMRPA;SA: CS Advanced Terminais p/ Rest. Posto;38
CSEEDIBSA;CS Enterprise EDI Broker Srv.Adic.;398
CSONARES1P;ON: CS Advanced Restauração 1º Posto;92
CSONMWAEB2B;ON(m): CS Web Advanced E-Commerce B2B;29,33
CSCFROTSAM;CS Corporate Frota Srv.Adic.Mono;457
CSONMALOTPPA;ON(m): CS Advanced Lotes p/ POS Posto;4,67
CSSAWEGEB2C;SA: CS Web Enterprise Grelhas p/ E-Commerce B2C;161
CSONDEIECAG5;ON: CS Desktop Enterprise IEC Álcool p/ Gestão 1a5 U.A.;21
CSONMAFORNRPA;ON(m): CS Advanced Fornecedores p/ Rest. Posto;7,75
CSONECONTPR;ON: CS Enterprise Controlo p/ Gestão Rede;254
CSCPROJSAM;CS Corporate Projeto p/ Gestão Srv.Adic.Mono;1676
CSACONSA;CS Advanced Conector Srv.Adic.;723
CSONMDEPROJ21;ON(m): CS Desktop Enterprise Projeto p/ Gestão +20 U.A.;2,5
CSEMULTP20P;CS Enterprise Multilingua p/ POS 11a20 Postos;121
CSONWADEEXT;ON: CS Web Advanced Documentos Eletrónicos Extranet;80
CSONMWEOKR5;ON(m): CS Web Enterprise OKR 1a5 U.A.;2,75
CSONMEGAISA;ON(m): CS Enterprise GenAI Srv.Adic.;4,42
CSONDASUPSTUA;ON: CS Desktop Advanced Suporte + Stocks U.A.;39
CSCOCUGSAR;CS Corporate Ocupação p/ Gestão Srv.Adic.Rede;366
CSATCLOTGR;AT: CS Corporate Lotes p/ Gestão Rede;366
CSONMEMULTSA;ON(m): CS Enterprise Multilingua Srv.Adic.;5,58
CSATCFAT1P;AT: CS Corporate Faturação 1º Posto;125
CSCGESCLR;CS Corporate Gestão Clientes Rede;477
CSATCIMOBSAM;AT: CS Corporate Imobilizado Srv.Adic.Mono;267
CSONDALOTGUA;ON: CS Desktop Advanced Lotes p/ Gestão U.A.;24
CSECONSSA;CS Enterprise Consolidação Srv.Adic.;1781
CSONEMEDIPR;ON: CS Enterprise Medição p/ Gestão Rede;592
CSONMEINTSA;ON(m): CS Enterprise Intrastat Srv.Adic.;14,08
CSSAETERMP;SA: CS Enterprise Terminais Portáteis;1005
CSDEFROT20;CS Desktop Enterprise Frota 6a20 U.A.;196
CSDCSUPUA;CS Desktop Corporate Suporte U.A.;69
CSMMGREPUA;CS Manufactor Manager Grelhas U.A.;80
CSATEECOP21P;AT: CS Enterprise Ecovalor p/ POS +20 Postos;39
CSATESINC10P;AT: CS Enterprise Sincro 1a10 Postos;136
CSONEFROTSA;ON: CS Enterprise Frota Srv.Adic.;237
CSONMEFORNP10P;ON(m): CS Enterprise Fornecedores p/ POS 1a10 Postos;9,83
CSONMCIMOVM;ON(m): CS Corporate Imóveis Mono;11,75
CSONDEGES5;ON: CS Desktop Enterprise Gestão 1a5 U.A.;286
CSATASMS;AT: CS Advanced SMS;152
CSCPGSSAR;CS Corporate Gestão Completo + Suporte Srv.Adic.Rede;1508
CSWEECOG5;CS Web Enterprise Ecovalor p/ Gestão 1a5 U.A.;86
CSONMMLOTR;ON: CS Manufactor Manager Lotes Rede;98
CSATECONTR;AT: CS Enterprise Contabilidade Rede;2969
CSATEMULTP21P;AT: CS Enterprise Multilingua p/ POS +20 Postos;50
CSONMMMTOUR;ON(m): CS Manufactor Manager Touch Rede;8,17
CSONMAGREGSA;ON(m): CS Advanced Grelhas p/ Gestão Srv.Adic.;4,42
CSONEXL1P;ON: CS Enterprise XL 1º Posto;149
CSATCREVIPM;AT: CS Corporate Revisão de Preços Mono;723
CSONEEDIBSA;ON: CS Enterprise EDI Broker Srv.Adic.;74
CSATDEFORM20;AT: CS Desktop Enterprise Formação 6a20 U.A.;137
CSONMCSERVGSAR;ON(m): CS Corporate Serviços Srv.Adic.Rede;4,25
CSDECONT20;CS Desktop Enterprise Contabilidade 6a20 U.A.;269
CSEIECAP20P;CS Enterprise IEC Álcool p/ POS 11a20 Postos;94
CSASHSTSA;CS Advanced SHST Srv.Adic.;420
CSATCIMOVR;AT: CS Corporate Imóveis Rede;457
CSONCPROJM;ON: CS Corporate Projeto p/ Gestão Mono;620
CSATDEGREG21;AT: CS Desktop Enterprise Grelhas p/ Gestão +20 U.A.;14
CSCLETSAR;CS Corporate Letras Srv.Adic.Rede;366
CSCSUPR;CS Corporate Suporte Rede;1279
CSONMDEOBRG21;ON(m): CS Desktop Enterprise Obras p/ Gestão +20 U.A.;0,42
CSATECARSA;AT: CS Enterprise Careers Srv.Adic.;334
CSSAWERECRU5;SA: CS Web Enterprise Recrutamento 1a5 U.A.;94
CSDCGESUA;CS Desktop Corporate Gestão U.A.;112
CSATDCLOTGUA;AT: CS Desktop Corporate Lotes p/ Gestão U.A.;18
CSATCORCAPR;AT: CS Corporate Orçamento p/ Gestão Rede;869
CSONESMS;ON: CS Enterprise SMS;85
CSSAEGREP10P;SA: CS Enterprise Grelhas p/ POS 1a10 Postos;38
CSONDECAR5;ON: CS Desktop Enterprise Careers 1a5 U.A.;100
CSATDAGREGUA;AT: CS Desktop Advanced Grelhas p/ Gestão U.A.;19
CSSACFORNR5P;SA: CS Corporate Fornecedores p/ Rest. 2a5 Postos;121
CSATCIMOVSAM;AT: CS Corporate Imóveis Srv.Adic.Mono;190
CSATEPOS10P;AT: CS Enterprise POS 1a10 Postos;479
CSWAEB2B;CS Web Advanced E-Commerce B2B;1902
CSATWEGREG5;AT: CS Web Enterprise Grelhas p/ Gestão 1a5 U.A.;43
CSEPLANPSA;CS Enterprise Planeamento p/ Gestão Srv.Adic.;412
CSONWEGAI401;ON: CS Web Enterprise GenAI +400 U.A.;1
CSSADEIECAG5;SA: CS Desktop Enterprise IEC Álcool p/ Gestão 1a5 U.A.;38
CSATDCGREGUA;AT: CS Desktop Corporate Grelhas p/ Gestão U.A.;14
CSONMEFORNR21P;ON(m): CS Enterprise Fornecedores p/ Rest. +20 Postos;6,33
CSONEEDIB;ON: CS Enterprise EDI Broker;147
CSONMALETSA;ON(m): CS Advanced Letras Srv.Adic.;17
CSESERVGR;CS Enterprise Serviços Rede;1264
CSSAWEDOC400;SA: CS Web Enterprise Documentos 101a400 U.A.;6
CSATWCGREG120;AT: CS Web Corporate Grelhas p/ Gestão 1a20 U.A.;10
CSONMAIMOVSA;ON(m): CS Advanced Imóveis Srv.Adic.;17
CSCIMOBSAM;CS Corporate Imobilizado Srv.Adic.Mono;534
CSONMDECRM5;ON(m): CS Desktop Enterprise CRM 1a5 U.A.;6
CSONMCVENCR;ON(m): CS Corporate Vencimentos Rede;20,25
CSONWAEQUIUA;ON: CS Web Advanced Equipa U.A.;21
CSATDAIECAGUA;AT: CS Desktop Advanced IEC Álcool p/ Gestão U.A.;18
CSCOBRGSAR;CS Corporate Obras p/ Gestão Srv.Adic.Rede;366
CSATCEQPMGR;AT: CS Corporate Equipamento p/ Gestão Rede;274
CSEVENCR;CS Enterprise Vencimentos Rede;5938
CSATAPROJR;AT: CS Advanced Projeto p/ Gestão Rede;2894
CSONDEFROT20;ON: CS Desktop Enterprise Frota 6a20 U.A.;36
CSONCECOGSAR;ON: CS Corporate Ecovalor p/ Gestão Srv.Adic.Rede;51
CSSAWERECRU20;SA: CS Web Enterprise Recrutamento 6a20 U.A.;66
CSONMWEEB2BIUA;ON(m): CS Web Enterprise E-Commerce B2B Intranet U.A.;5,83
CSWACOLAB120;CS Web Advanced Colaborador 1a20 U.A.;62
CSSACMEDIPM;SA: CS Corporate Medição p/ Gestão Mono;477
CSELOGIGSA;CS Enterprise Logística p/ Gestão Srv.Adic.;658
CSONEGESR;ON: CS Enterprise Gestão Rede;1352
CSATDESERVG21;AT: CS Desktop Enterprise Serviços +20 U.A.;14
CSATCRGPDSA;AT: CS Corporate RGPD Srv.Adic.;95
CSONMAEQPMPPA;ON(m): CS Advanced Equipamento p/ POS Posto;1,75
CSCLETM;CS Corporate Letras Mono;609
CSONMDEMEDIP5;ON(m): CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;4,42
CSAOBRGSA;CS Advanced Obras p/ Gestão Srv.Adic.;920
CSSAWEECOG20;SA: CS Web Enterprise Ecovalor p/ Gestão 6a20 U.A.;13
CSONAIMOBSA;ON: CS Advanced Imobilizado Srv.Adic.;275
CSDEOBRG5;CS Desktop Enterprise Obras p/ Gestão 1a5 U.A.;114
CSEFORNP20P;CS Enterprise Fornecedores p/ POS 11a20 Postos;512
CSONCCONTPR;ON: CS Corporate Controlo p/ Gestão Rede;153
CSONADOCBR;ON: CS Advanced Documentos + BPM Rede;408
CSONMWEDOCE;ON(m): CS Web Enterprise Documentos Extranet;24,17
CSONWAEB2B;ON: CS Web Advanced E-Commerce B2B;352
CSATCOBRGM;AT: CS Corporate Obras p/ Gestão Mono;305
CSWCCONT120;CS Web Corporate Contabilidade 1a20 U.A.;50
CSCGREGR;CS Corporate Grelhas p/ Gestão Rede;548
CSONMDEEQUI5;ON(m): CS Desktop Enterprise Equipa 1a5 U.A.;6
CSONWEDOC400;ON: CS Web Enterprise Documentos 101a400 U.A.;4
CSCCLIR;CS Corporate Clínica Rede;1279
CSSAWEGREG5;SA: CS Web Enterprise Grelhas p/ Gestão 1a5 U.A.;28
CSCPROJM;CS Corporate Projeto p/ Gestão Mono;3352
CSONMDEIMOV21;ON(m): CS Desktop Enterprise Imóveis +20 U.A.;2,5
CSSAEGESR;SA: CS Enterprise Gestão Rede;2412
CSONMDESHST20;ON(m): CS Desktop Enterprise SHST 6a20 U.A.;1,5
CSONCLOTGM;ON: CS Corporate Lotes p/ Gestão Mono;113
CSATWACOLAB101;AT: CS Web Advanced Colaborador +100 U.A.;5
CSATESUPSTR;AT: CS Enterprise Suporte + Stocks Rede;3770
CSCIECAGR;CS Corporate IEC Álcool p/ Gestão Rede;548
CSATWECRM21;AT: CS Web Enterprise CRM +20 U.A.;37
CSACRMSA;CS Advanced CRM Srv.Adic.;1104
CSONDEQUALI5;ON: CS Desktop Enterprise Qualidade 1a5 U.A.;71
CSSADAOBRGUA;SA: CS Desktop Advanced Obras p/ Gestão U.A.;42
CSATCDOCR;AT: CS Corporate Documentos Rede;457
CSONMCPLANPSAR;ON(m): CS Corporate Planeamento p/ Gestão Srv.Adic.Rede;6,33
CSATAGREGR;AT: CS Advanced Grelhas p/ Gestão Rede;284
RENOVACS;Renovação de Certificação Base;70
CSCFORNR1P;CS Corporate Fornecedores p/ Rest. 1º Posto;299
CSONWECONT5;ON: CS Web Enterprise Contabilidade 1a5 U.A.;73
CSSAEIECAP20P;SA: CS Enterprise IEC Álcool p/ POS 11a20 Postos;31
CSDESC5;CS Desktop Enterprise Safe Credit 1a5 U.A.;37
CSATMEMOLUA;AT: CS Manufactor Executive Moldes U.A.;75
CSATAMULTRPA;AT: CS Advanced Multilingua p/ Restauração Posto;57
CSONEMULTP20P;ON: CS Enterprise Multilingua p/ POS 11a20 Postos;22
CSONMDEGREG5;ON(m): CS Desktop Enterprise Grelhas p/ Gestão 1a5 U.A.;1,75
CSATWCCONT120;AT: CS Web Corporate Contabilidade 1a20 U.A.;25
CSDEVENC20;CS Desktop Enterprise Vencimentos 6a20 U.A.;269
CSATCCONTPR;AT: CS Corporate Controlo p/ Gestão Rede;413
CSONMELETR;ON(m): CS Enterprise Letras Rede;58,25
CSONMCSUPM;ON(m): CS Corporate Suporte Mono;16,5
CSWEGEB2C;CS Web Enterprise Grelhas p/ E-Commerce B2C;489
CSSAWECONT21;SA: CS Web Enterprise Contabilidade +20 U.A.;33
CSSAEMESTS1P;SA: CS Enterprise Estações de Serviço 1º Posto;201
CSWEDOC400;CS Web Enterprise Documentos 101a400 U.A.;19
CSONEMULTR20P;ON: CS Enterprise Multilingua p/ Restauração 11a20 Postos;22
CSONMEFORMR;ON(m): CS Enterprise Formação Rede;92,75
CSONMECRMSA;ON(m): CS Enterprise CRM Srv.Adic.;19,75
CSONMEFORNP21P;ON(m): CS Enterprise Fornecedores p/ POS +20 Postos;6,33
CSONMEOCUGSA;ON(m): CS Enterprise Ocupação p/ Gestão Srv.Adic.;12,67
CSONEMULTP21P;ON: CS Enterprise Multilingua p/ POS +20 Postos;18
CSONWEDEN;ON: CS Web Enterprise Denúncias;29
CSATDESUP21;AT: CS Desktop Enterprise Suporte +20 U.A.;68
CSDEEQPMG20;CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;52
CSDCIECAGUA;CS Desktop Corporate IEC Álcool p/ Gestão U.A.;26
CSWAGREGUA;CS Web Advanced Grelhas p/ Gestão U.A.;27
CSSAERES20P;SA: CS Enterprise Restauração 11a20 Postos;253
CSATAEQPMPPA;AT: CS Advanced Equipamento p/ POS Posto;57
CSEDERES;CS Enterprise Documentos Eletrónicos p/ Restauração;199
CSATDEEQPMG20;AT: CS Desktop Enterprise Equipamento p/ Gestão 6a20 U.A.;26
CSWCDOCE;CS Web Corporate Documentos Extranet;474
CSONWCFORM120;ON: CS Web Corporate Formação 1a20 U.A.;12
CSONACONTPR;ON: CS Advanced Controlo p/ Gestão Rede;198
CSONDEREVIP21;ON: CS Desktop Enterprise Revisão de Preços +20 U.A.;13
CSSACDE;SA: CS Corporate Documentos Eletrónicos;125
CSONDCIECAGUA;ON: CS Desktop Corporate IEC Álcool p/ Gestão U.A.;5
CSAORCAPSA;CS Advanced Orçamento p/ Gestão Srv.Adic.;1104
CSONDEEQPMG21;ON: CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;5
CSATDAOCUGUA;AT: CS Desktop Advanced Ocupação p/ Gestão U.A.;64
CSONMDCGREGUA;ON(m): CS Desktop Corporate Grelhas p/ Gestão U.A.;0,42
CSEOBRGSA;CS Enterprise Obras p/ Gestão Srv.Adic.;379
CSATCGESTER;AT: CS Corporate Gestão Terceiros Rede;823
CSSADCMEDIPUA;SA: CS Desktop Corporate Medição p/ Gestão U.A.;30
CSSADESUP21;SA: CS Desktop Enterprise Suporte +20 U.A.;45
CSEIECAGR;CS Enterprise IEC Álcool p/ Gestão Rede;1264
CSCDEPOS;CS Corporate Documentos Eletrónicos p/ POS;79
CSONDEIMOB20;ON: CS Desktop Enterprise Imobilizado 6a20 U.A.;50
CSWEGAI20;CS Web Enterprise GenAI 6a20 U.A.;51
CSWCVENC120;CS Web Corporate Vencimentos 1a20 U.A.;50
CSSAAEDIB;SA: CS Advanced EDI Broker;132
CSCMEDIPSAR;CS Corporate Medição p/ Gestão Srv.Adic.Rede;869
CSMEMOLUA;CS Manufactor Executive Moldes U.A.;150
CSONMWCVENC120;ON(m): CS Web Corporate Vencimentos 1a20 U.A.;0,75
CSONMARGPD;ON(m): CS Advanced RGPD;10,58
CSATCEQPMGM;AT: CS Corporate Equipamento p/ Gestão Mono;230
CSDCEQPMGUA;CS Desktop Corporate Equipamento p/ Gestão U.A.;26
CSONMCGESTEM;ON(m): CS Corporate Gestão Terceiros Mono;21,17
CSONMDAEQUIUA;ON(m): CS Desktop Advanced Equipa U.A.;2,33
CSATDEIECAG20;AT: CS Desktop Enterprise IEC Álcool p/ Gestão 6a20 U.A.;26
CSONCGESR;ON: CS Corporate Gestão Rede;406
CSSADEEQPMG21;SA: CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;9
CSACONTPR;CS Advanced Controlo p/ Gestão Rede;1068
CSATDCFROTUA;AT: CS Desktop Corporate Frota U.A.;25
CSWCDEINT;CS Web Corporate Documentos Eletrónicos Intranet;26
CSONMEFORNR20P;ON(m): CS Enterprise Fornecedores p/ Rest. 11a20 Postos;7,92
CSONDEECOG20;ON: CS Desktop Enterprise Ecovalor p/ Gestão 6a20 U.A.;10
CSATETERMR10P;AT: CS Enterprise Terminais p/ Rest. 1a10 Postos;75
CSWEGES20;CS Web Enterprise Gestão 6a20 U.A.;571
CSSAEREVIPR;SA: CS Enterprise Revisão de Preços Rede;955
CSONWAECOE;ON: CS Web Advanced Ecovalor Extranet;42
CSATWCGREE;AT: CS Web Corporate Grelhas Extranet;89
CSONMAGREGR;ON(m): CS Advanced Grelhas p/ Gestão Rede;8,75
CSONWERECRU21;ON: CS Web Enterprise Recrutamento +20 U.A.;26
CSONMAMEDIPSA;ON(m): CS Advanced Medição p/ Gestão Srv.Adic.;17
CSONMDESUPST20;ON(m): CS Desktop Enterprise Suporte + Stocks 6a20 U.A.;5,25
CSSAWEOKR5;SA: CS Web Enterprise OKR 1a5 U.A.;59
CSONCGREGSAR;ON: CS Corporate Grelhas p/ Gestão Srv.Adic.Rede;51
CSONASUPSTSA;ON: CS Advanced Suporte + Stocks Srv.Adic.;275
CSONWEGES21;ON: CS Web Enterprise Gestão +20 U.A.;52
CSATALOTGSA;AT: CS Advanced Lotes p/ Gestão Srv.Adic.;460
CSONWESUP5;ON: CS Web Enterprise Suporte 1a5 U.A.;75
CSATACON;AT: CS Advanced Conector;723
CSONMWAGAI100;ON(m): CS Web Advanced GenAI 21a100 U.A.;0,25
CSAPOSPA;CS Advanced POS Posto Adic.;599
CSONMWASUPE;ON(m): CS Web Advanced Suporte Extranet;29,33
CSSACVENCR;SA: CS Corporate Vencimentos Rede;434
CSSAEFORNP20P;SA: CS Enterprise Fornecedores p/ POS 11a20 Postos;169
CSEVENCSA;CS Enterprise Vencimentos Srv.Adic.;1781
CSONACARSA;ON: CS Advanced Careers Srv.Adic.;103
CSSADEEQUI20;SA: CS Desktop Enterprise Equipa 6a20 U.A.;66
CSWEGREG20;CS Web Enterprise Grelhas p/ Gestão 6a20 U.A.;39
CSONMESERVGSA;ON(m): CS Enterprise Serviços Srv.Adic.;5,83
CSONMDEOCUG21;ON(m): CS Desktop Enterprise Ocupação p/ Gestão +20 U.A.;0,83
CSONESINC20P;ON: CS Enterprise Sincro 11a20 Postos;41
CSONEOBRGR;ON: CS Enterprise Obras p/ Gestão Rede;234
CSATDEREVIP5;AT: CS Desktop Enterprise Revisão de Preços 1a5 U.A.;130
CSATDELET21;AT: CS Desktop Enterprise Letras +20 U.A.;44
CSDAOCUGUA;CS Desktop Advanced Ocupação p/ Gestão U.A.;128
CSSAADE;SA: CS Advanced Documentos Eletrónicos;226
CSSAWAFORMUA;SA: CS Web Advanced Formação U.A.;38
CSATEOBRGR;AT: CS Enterprise Obras p/ Gestão Rede;632
CSONDEMEDIP5;ON: CS Desktop Enterprise Medição p/ Gestão 1a5 U.A.;53
CSEORCAPSA;CS Enterprise Orçamento p/ Gestão Srv.Adic.;959
CSCESTS;CS Corporate Estações de Serviço;609
CSONMCPLANPM;ON(m): CS Corporate Planeamento p/ Gestão Mono;10,58
CSATAECOGSA;AT: CS Advanced Ecovalor p/ Gestão Srv.Adic.;142
CSSADEPROJ5;SA: CS Desktop Enterprise Projeto p/ Gestão 1a5 U.A.;221
CSSADCCLIUA;SA: CS Desktop Corporate Clínica U.A.;23
CSONMCLETSAR;ON(m): CS Corporate Letras Srv.Adic.Rede;5,67
CSONCEQUISAR;ON: CS Corporate Equipa Srv.Adic.Rede;102
CSONEECOP20P;ON: CS Enterprise Ecovalor p/ POS 11a20 Postos;17
CSATAMEDIPR;AT: CS Advanced Medição p/ Gestão Rede;1104
CSCPGLOM;CS Corporate Global Mono;3992
CSSAWEFORM5;SA: CS Web Enterprise Formação 1a5 U.A.;133
CSATDACARUA;AT: CS Desktop Advanced Careers U.A.;77
CSONERGPDRPA;ON: CS Enterprise RGPD p/ Restauração Posto;44
CSSAWCCONT120;SA: CS Web Corporate Contabilidade 1a20 U.A.;17
CSONWECOLAB401;ON: CS Web Enterprise Colaborador +400 U.A.;2
CSATWCEB2BIUA;AT: CS Web Corporate E-Commerce B2B Intranet U.A.;75
CSONMDEEQPMG21;ON(m): CS Desktop Enterprise Equipamento p/ Gestão +20 U.A.;0,42
CSONCXLPA;ON: CS Corporate XL Posto Adic.;17
CSONMDECONS5;ON(m): CS Desktop Enterprise Consolidação 1a5 U.A.;8,25
CSONAEDIB;ON: CS Advanced EDI Broker;74
CSATWEDEINT;AT: CS Web Enterprise Documentos Eletrónicos Intranet;78
CSONCPROJSAR;ON: CS Corporate Projeto p/ Gestão Srv.Adic.Rede;372
CSSAWAGREGUA;SA: CS Web Advanced Grelhas p/ Gestão U.A.;9
CSONEIECAP21P;ON: CS Enterprise IEC Álcool p/ POS +20 Postos;14
CSSADEECOG5;SA: CS Desktop Enterprise Ecovalor p/ Gestão 1a5 U.A.;38
CSATEECOGR;AT: CS Enterprise Ecovalor p/ Gestão Rede;632
CSASQP1000;CS Assinaturas Qualificadas - Pack Adicional 1000;100
CSSAAECOGR;SA: CS Advanced Ecovalor p/ Gestão Rede;187
CSEINT;CS Enterprise Intrastat;3046
CSONMARGPDRPA;ON(m): CS Advanced RGPD p/ Restauração Posto;2,75
CSATEECOP10P;AT: CS Enterprise Ecovalor p/ POS 1a10 Postos;57
CSONAIECAGSA;ON: CS Advanced IEC Álcool p/ Gestão Srv.Adic.;53
CSSAARGPDRPA;SA: CS Advanced RGPD p/ Restauração Posto;59
CSAFORMR;CS Advanced Formação Rede;2208
CSATWEECOG20;AT: CS Web Enterprise Ecovalor p/ Gestão 6a20 U.A.;20
CSCCONTPSAM;CS Corporate Controlo p/ Gestão Srv.Adic.Mono;343
CSATDEORCAP5;AT: CS Desktop Enterprise Orçamento p/ Gestão 1a5 U.A.;142
CSONMDECAR20;ON(m): CS Desktop Enterprise Careers 6a20 U.A.;4,17
CSATWEFORM5;AT: CS Web Enterprise Formação 1a5 U.A.;202
CSONMCDOCSAR;ON(m): CS Corporate Documentos Srv.Adic.Rede;7,08
CSONWEVENCUA;ON: CS Web Enterprise Vencimentos U.A.;73
CSSADECONTP21;SA: CS Desktop Enterprise Controlo p/ Gestão +20 U.A.;9
CSATCGREP5P;AT: CS Corporate Grelhas p/ POS 1a5 Postos;36
CSATAPOS1P;AT: CS Advanced POS 1º Posto;250
CSONMCEQUIR;ON(m): CS Corporate Equipa Rede;16,92
CSATAIMOVSA;AT: CS Advanced Imóveis Srv.Adic.;552
CSDEQUALI21;CS Desktop Enterprise Qualidade +20 U.A.;98
CSONWAOKR101;ON: CS Web Advanced OKR +100 U.A.;2
CSONCMEDIPSAR;ON: CS Corporate Medição p/ Gestão Srv.Adic.Rede;161
CSONWEGAI20;ON: CS Web Enterprise GenAI 6a20 U.A.;9
CSATEXL1P;AT: CS Enterprise XL 1º Posto;404
CSWASUPUA;CS Web Advanced Suporte U.A.;114
CSONMWEDEEXT;ON(m): CS Web Enterprise Documentos Eletrónicos Extranet;11
CSONMEFORNP20P;ON(m): CS Enterprise Fornecedores p/ POS 11a20 Postos;7,92
CSONWEDEEXT;ON: CS Web Enterprise Documentos Eletrónicos Extranet;132
CSONMCCONTR;ON(m): CS Corporate Contabilidade Rede;19,75
CSONMCCRMSAR;ON(m): CS Corporate CRM Srv.Adic.Rede;8,5
CSONMWAGREGUA;ON(m): CS Web Advanced Grelhas p/ Gestão U.A.;0,42
CSONMALOTGR;ON(m): CS Advanced Lotes p/ Gestão Rede;28,33
CSONMAGESR;ON(m): CS Advanced Gestão Rede;58,25
CSONCFROTSAR;ON: CS Corporate Frota Srv.Adic.Rede;102
CSONMWAOKR100;ON(m): CS Web Advanced OKR 21a100 U.A.;0,75
CSSAAOKRR;SA: CS Advanced OKR Rede;546
CSSAWASUPE;SA: CS Web Advanced Suporte Extranet;628
CSONEPROJSA;ON: CS Enterprise Projeto p/ Gestão Srv.Adic.;414
CSONMDCMEDIPUA;ON(m): CS Desktop Corporate Medição p/ Gestão U.A.;1,42
CSATCFORMSAR;AT: CS Corporate Formação Srv.Adic.Rede;412
CSSAWAGAI100;SA: CS Web Advanced GenAI 21a100 U.A.;6
CSONMWADEN;ON(m): CS Web Advanced Denúncias;0,67
CSONMDCOCUGUA;ON(m): CS Desktop Corporate Ocupação p/ Gestão U.A.;0,5
CSSAEGREP20P;SA: CS Enterprise Grelhas p/ POS 11a20 Postos;31
CSONDEEQPMG5;ON: CS Desktop Enterprise Equipamento p/ Gestão 1a5 U.A.;21
CSWACRMUA;CS Web Advanced CRM U.A.;114
CSSADACLIUA;SA: CS Desktop Advanced Clínica U.A.;50
CSATDCEQUIUA;AT: CS Desktop Corporate Equipa U.A.;26
CSDCIMOBUA;CS Desktop Corporate Imobilizado U.A.;69
CSDAGAI120;CS Desktop Advanced GenAI 1a20 U.A.;50
CERTIFIMOB; Certificação PHC CS Imobilizado;100
CSWEDOCE;CS Web Enterprise Documentos Extranet;1568
CSATAOCUGSA;AT: CS Advanced Ocupação p/ Gestão Srv.Adic.;460
CSCPGCRMSAR;CS Corporate Gestão Completo + CRM Comercial Srv.Adic.Rede;1371
CSONDEVENC5;ON: CS Desktop Enterprise Vencimentos 1a5 U.A.;100
RENOVAGOBP;Renovação Certificação PHC GO Business Partner;50
CSONWECOLAB400;ON: CS Web Enterprise Colaborador 101a400 U.A.;3
CSWECAR401;CS Web Enterprise Careers +400 U.A.;9
CSCFAT1P;CS Corporate Faturação 1º Posto;249
CSWEOKR20;CS Web Enterprise OKR 6a20 U.A.;134
CSONMDASUPSTUA;ON(m): CS Desktop Advanced Suporte + Stocks U.A.;3,25
CSERGPD;CS Enterprise RGPD;1446
CSONEINTSA;ON: CS Enterprise Intrastat Srv.Adic.;169
CSEFORNP21P;CS Enterprise Fornecedores p/ POS +20 Postos;410
CSONEECOGR;ON: CS Enterprise Ecovalor p/ Gestão Rede;234
CSONMEQUADBR;ON(m): CS Enterprise Qualidade+Documentos+BPM Rede;94,92
CSSADECRM21;SA: CS Desktop Enterprise CRM +20 U.A.;33
CSONWEGES20;ON: CS Web Enterprise Gestão 6a20 U.A.;106
CSSAMEPLATI;SA: CS Manufactor Executive Platform Intranet;57
CSONDECONT20;ON: CS Desktop Enterprise Contabilidade 6a20 U.A.;50
CSATCGESSAR;AT: CS Corporate Gestão Srv.Adic.Rede;549
